FAO_code,Latin,English,Spanish,French
gau,Galeus spp,Crest-tail catsharks nei,Pintarrojas nep,Chiens galeus
gav,Aplochiton zebra,,,
gaw,Ataeniobius toweri,Bluetail goodea,,
gax,Argonauta spp,Argonauts nei,Argonautas nep,Argonautes
gay,Galeopsis bullatus,,,
gaz,Portunus trituberculatus,Gazami crab,Jaiba gazami,Crabe gazami
gba,Sphyraena barracuda,Great barracuda,Picuda barracuda,Barracuda
gbb,Brachygalaxias bullocki,,,
gbc,Gobius cobitis,Giant goby,Gobito de roca,Gobie céphalote
gbd,Gobiomorus dormitor,Bigmouth sleeper,Guavina bocón,
gbe,Gibbonsia elegans,Spotted kelpfish,,
gbf,Gobiusculus flavescens,Two-spotted goby,,
gbg,Caragobioides geomys,,,
gbh,Atya gabonensis,Gabon shrimp,Camarón gabonés,Saltarelle gabonaise
gbi,Glossogobius biocellatus,Sleepy goby,,
gbj,Gibbula albida,White gibbula,Peonza blanca,Troque blanchâtre
gbk,Gobulus crescentalis,Crescent goby,Gobio creciente,
gbl,Plectorhinchus macrolepis,Biglip grunt,Burro labiogrueso,Diagramme à grosses lèvres
gbm,Oxyeleotris marmorata,Marble goby,,
gbn,Gobius niger,Black goby,Chaparrudo,Gobie noir
gbo,Zosterisessor ophiocephalus,Grass goby,Gobio serpentón,Gobie lote
gbp,Gobionellus atripinnis,Blackfin goby,,
gbq,Gibbula adansoni,Adanson's gibbula,Peonza de Adanson,Troque d'Adanson
gbr,Plectorhinchus mediterraneus,Rubberlip grunt,Burro chiclero,Diagramme gris
gbs,Mycteroperca xenarcha,Broomtail grouper,Garropa jaspeada,Badèche balai
gbt,Gibberichthys latifrons,,,
gbu,Gracilopterygion bapturum,Japanese blacktail triplefin,,
gbv,Gobiomorphus breviceps,Upland bully,,
gbw,Gibbula divaricata,Divaricate gibbula,Peonza fina,Troque divergent
gbx,Gibbula ardens,Red-brown gibbula,Peonza brillante,Troque brillant
gby,Gibbula fanulum,Chapel gibbula,Peonza pagoda,Troque petite pagode
gbz,Gobius ater,Bellotti's goby,Gobio escarabajo,Gobie de Bellotti
gca,Gracila albomarginata,Masked grouper,Mero paranjero,Mérou bord rouge
gcb,Gonichthys barnesi,,,
gcc,Glycymeris violacenscens,Violet bittersweet,Almeja tonta,Amande violacée
gcd,Glycymeris undata,Lined bittersweet,,
gce,Chapalichthys encaustus,Barred splitfin,,
gcf,Gymnochanda filamentosa,,,
gcg,Bucephala clangula,Common goldeneye,Porrón osculado,Garrot à oeil d'or
gch,Gracilaria chilensis,,Pelillo,
gci,Gillichthys mirabilis,Longjaw mudsucker,,
gcj,Glycymeris pilosa,Pilose bittersweet,Almendra peluda,Amande velue
gck,Glycymeris bimaculata,Two-spotted bittersweet,Almendra rayada,Amande à deux taches
gcl,Conidens laticephalus,,,
gcm,Carnegiella marthae,Blackwing hatchetfish,,
gcn,Genyochromis mento,,,
gco,Gracilaria veleroae,Veiled gracilaria,Gracilaria velada,Gracilaire voilée
gcp,Chapalichthys pardalis,Polka-dot splitfin,,
gcq,Ciliata spp,,,
gcr,Gobius cruentatus,Red-mouthed goby,Gobito,Gobie ensanglanté
gcs,Ciliata septentrionalis,Northern rockling,,
gct,Characodon lateralis,Rainbow characodon,,
gcu,Characodon audax,Bold characodon,,
gcv,Glycymeris reevei,Reeve's bittersweet,,Amande de Reeve
gcw,Gracilaria textorii,Broadleaf gracilaria,Gracilaria laminada,Gracilaire laminée
gcx,Chorisochismus dentex,Rocksucker,,
gcy,Crenichthys baileyi,White River springfish,,
gcz,Clangula hyemalis,Long-tailed duck,Pato havelda,Harelde boréale
gda,Glanidium albescens,,,
gdb,Diplecogaster bimaculata,Two-spotted clingfish,,
gdc,Discotrema crinophila,Crinoid clingfish,,
gde,Gaidropsarus ensis,Threadfin rockling,,Mustèle arctique à trois barb.
gdf,Guentheridia formosa,Spotted puffer,,
gdg,Gadiculus argenteus,Silvery pout,Faneca plateada,Merlan argenté
gdh,Gelidium chilense,,,
gdi,Gadella imberbis,Beardless codling,,
gdj,Gerreidae,"Mojarras, etc. nei","Mojarras, etc. nep","Blanches, etc."
gdk,Gelidium lingulatum,,,
gdl,Gadella maraldi,Gadella,,
gdm,Gladioglanis machadoi,,,
gdn,Diademichthys lineatus,,,
gdo,Dellichthys morelandi,Urchin clingfish,,
gdp,Diplocrepis puniceus,Orange clingfish,,
gdq,Goeldiella eques,,,
gdr,Gymnodraco acuticeps,Ploughfish,,
gds,Apistogrammoides pucallpaensis,,,
gdt,Gaidropsarus argentatus,Arctic rockling,,
gdu,Gadopsis bispinosus,,,
gdv,Goniocorella dumosa,Bushy hard coral,,
gdw,Gonatidae,Gonate squids nei,Gonaluras nep,Encornets Gonatidae
gdx,Gelidium rex,,,
gdy,Gelidium amansii,Japanese isinglass,,
gea,Gerlachea australis,,,
geb,Genicanthus bellus,Ornate angelfish,,
gec,Panopea abrupta,Pacific geoduck,Panopea del Pacífico,Panopée du Pacifique
ged,Gecarcoidea lalandii,Purple land crab,,
gee,Empetrichthys merriami,Ash Meadows killifish,,
gef,Gerres filamentosus,Whipfin silver-biddy,,
geg,Genidens genidens,Guri sea catfish,,
geh,Gerres setifer,,,
gei,Genicanthus spinus,Pitcairn angelfish,,
gej,Gerres oyena,Common silver-biddy,Mojarra común,Blanche commune
gek,Eckloniaichthys scylliorhiniceps,Weedsucker,,
gel,Gelidium spp,Gelidium seaweeds,Gelidios,Algues gélidium
gem,Rexea solandri,Silver gemfish,Escolar plateado,Escolier tifiati
gen,Gerres cinereus,Yellow fin mojarra,,
geo,Gerres oblongus,Slender silver-biddy,Mojarra elegante,Blanche élégante
gep,Gempylidae,"Snake mackerels, escolars nei","Escolares, sierras nep","Escoliers, rouvets"
geq,Gelidium corneum,Giant gelidium,Ocle imperial,Gelidium imperial
ger,Chaceon spp,Chaceon geryons nei,Geriones Chaceon nep,Géryons Chaceon
ges,Gempylus serpens,Snake mackerel,Escolar de canal,Escolier serpent
get,Gerres poieti,Strongspine silver-biddy,,
geu,Genyatremus luteus,Torroto grunt,,
gev,Gerres abbreviatus,Deep-bodied mojarra,,
gew,Gelidium madascariense,,,
gex,Panopea spp,,,
gey,Geryonidae,"Deep-sea crabs, geryons nei",Geriones nep,Gérionidés
gez,Gerres nigri,Guinean striped mojarra,Mojarra guineana,Friture rayée
gfa,Geophagus brasiliensis,Pearl cichlid,,
gfb,Phycis blennoides,Greater forkbeard,Brótola de fango,Phycis de fond
gfc,Glyphocrangon vicaria,Vicary armoured shrimp,Camarón acorazado vicario,Crevette armée vicaire
gfd,Gafrarium dispar,Discrepant venus,,Circe mouchetée
gfe,Cologrammus flavescens,,,
gff,Gerres methueni,Striped silver biddy,,
gfi,Glyphocrangon sicaria,Panama armoured shrimp,Camarón acorazado panameño,Crevette armée panaméenne
gfj,Gafrarium tumidum,Tumid venus,,Circe gibbeuse
gfk,Gafrarium divaricatum,Forked venus,,Circe divariquée
gfl,Gephyrochromis lawsi,,,
gfm,Pelagocephalus marki,Rippled blaasop,,
gfn,Argonauta nodosa,Knobby argonaut,,
gfo,Glyphoglossus molossus,,,
gfp,Gafrarium pectinatum,Comb venus,,Circe pectinee
gfq,Gomphina aequilatera,Equilateral venus,,Vénus équilatérale
gfs,Glyphocrangon spinulosa,Spiny armoured shrimp,Camarón acorazado espinoso,Crevette armée épineuse
gft,Glyphocrangon alata,Armoured shrimp,Camarón ancorazado,Crevette armée
gfu,Glyphus marsupialis,Kangaroo shrimp,Camarón canguro,Sivade kangourou
gfv,Gomphosus varius,Bird wrasse,,
gfw,Geophagus proximus,,,
gfx,Tegula spp,,,
gfy,Gyrinomimus grahami,Flabby whalefish,,
gfz,Cipangopaludina chinensis,Chinese mystery snail,,
gga,Gagata gagata,,,
ggb,Galaxias brevipinnis,Koaro,,
ggc,Galaxias cleaveri,Tasmanian mudfish,,
ggd,Gaidropsarus mediterraneus,Shore rockling,Bertorella,Motelle de Méditerranée
gge,Gagata cenia,,,
ggf,Galaxias fasciatus,Banded kokopu,,
ggg,Gonorynchus gonorynchus,Beaked salmon,,
ggh,Gigantura chuni,Gigantura,,
ggi,Gargariscus prionocephalus,,,
ggj,Giganthias immaculatus,,,
ggk,Aseraggodes kaianus,,,
ggl,Gasteropelecus levis,Silver hatchetfish,,
ggm,Galaxias maculatus,Inanga,,
ggn,Gigantactis elsmani,,,
ggo,Gnathanacanthus goetzeei,Red velvetfish,,
ggp,Galaxias postvectis,Shortjaw kokopu,,
ggq,Argonauta argo,Greater argonaut,Argonauta común,Argonaute papier
ggr,Gaidropsarus macrophthalmus,Bigeye rockling,,
ggs,Gelanoglanis stroudi,,,
ggt,Girardinichthys multiradiatus,Darkedged splitfin,,
ggu,Gaidropsarus vulgaris,Three-bearded rockling,Mollareta,Motelle commune
ggv,Galaxias vulgaris,Common river galaxias,,
ggw,Gorgoniidae,Gorgonians,,
ggx,Palatogobius paradoxus,Mauve goby,,
ggy,Gaidropsarus biscayensis,Mediterranean bigeye rockling,Barbada,Motelle
ggz,Galaxias zebratus,Cape galaxias,,
gha,Galeus atlanticus,Atlantic sawtail catshark,Olayo atlántico,
ghb,Gobius bucchichi,Bucchich's goby,Gobio de ortiga,Gobie moucheté
ghc,Grahamina capito,Spotted robust triplefin,,
ghd,Anser anser,Greylag goose,Ansar común,Oie cendrée
ghe,Gymnelus hemifasciatus,Halfbarred pout,,
ghf,Tomistoma schlegelii,False gharial,,Faux gavial
ghg,Gigartinaceae,Gigartina seaweeds nei,Lugas nep,Gigartines
ghh,Anser brachyrhynchus,Pink-footed goose,Ansar piquicorto,Oie à bec court
ghi,Anser fabalis,Bean goose,Ansar campestre,Oie des moissons
ghj,Gorgonocephalus chilensis,,,
ghl,Reinhardtius hippoglossoides,Greenland halibut,Fletán negro,Flétan noir
ghm,Gymnachirus melas,,,
ghn,Megathura crenulata,Great keyhole limpet,Fisurela gigante,Grande fissurelle
gho,Lethops connectens,Halfblind goby,,
ghp,Patagonotothen guntheri,Yellowfin notothen,,
ghr,Grahamichthys radiata,Graham's gudgeon,,
ghx,Tagelus spp,,,
gia,Gila atraria,Utah chub,,
gib,Gila bicolor,Tui chub,,
gic,Gila cypha,Humpback chub,,
gid,Gilloblennius abditus,Obscure triplefin,,
gie,Gila elegans,Bonytail,,
gif,Gari fervensis,Faeroe sunset clam,Gario boreal,Psammobie boreale
gih,Gibbula philberti,Philbert's gibbula,Peonza de Philbert,Troque de Philibert
gii,Glossolepis incisus,Red rainbowfish,,
gik,Goniopsis pulchra,Racer mangrove crab,Carana de mangle,Anglette des mangroves
gil,Girardinus creolus,Creole topminnow,,
gim,Girella simplicidens,Gulf opal eye,Ojo azul,Calicagère oeil bleu
gin,Gila nigrescens,Chihuahua chub,,
gio,Gillellus arenicola,Sandy stargazer,,
gip,Lates calcarifer,Barramundi(=Giant seaperch),Perca gigante,Perche barramundi
giq,Girella nigricans,Opaleye,Chopa verde,Calicagère verte
gir,Gila robusta,Roundtail chub,,
gis,Dosidicus gigas,Jumbo flying squid,Jibia gigante,Encornet géant
git,Penaeus monodon,Giant tiger prawn,Langostino jumbo,Crevette géante tigrée
giu,Gilbertolus alatus,,,
giv,Ginsburgellus novemlineatus,Nineline goby,,
giw,Turbo sarmaticus,Giant periwinkle,,
gix,Gari spp,Sunset clams nei,,Psammobies
giy,Girella tricuspidata,Parore,,
giz,Gibbula magus,Magus gibbula,Peonza maga,Troque mage
gja,Chondracanthus acicularis,Spurweed,Espuela de gallo,Griffes des Harpies
gjc,Gelidium crinale,Hairy gelidium,Gelidio crin,Gelidium-crin
gjd,Gari depressa,Depressed sunset clam,Almeja vespertina,Psammobie vespertinale
gje,Chondracanthus teedii,Hackle weed,Rastrillo de mar,Rateau de Polypheme
gjf,Glycymeris longior,,,
gji,Gibbula richardi,Richard's gibbula,Peonza de Richard,Troque de Richard
gjj,Gelidium johnstonii,Red gelidium,Pajilla roja,Menue paille rouge
gjk,Gigartina skottsbergii,Skottsberg's gigartina,Gigartina de Skottsberg,Gigartine de Skottsberg
gjl,Argis lar,Kuro shrimp,Camarón kuro,Crevette kuro
gjm,Gibbula umbilicaris,Umbilicate medit. Gibbula,Peonza umbilical,Troque ombilicaire
gjo,Gelidiella acerosa,Chaffweed,Pajilla marina,Menue paille marine
gjp,Gelidium pusillum,Dwarf gelidium,Pajilla enana,Menue paille naine
gjq,Gari squamosa,Squamose sunset clam,,Psammobie ecailleuse
gjr,Gibbula rarilineata,Concave gibbula,Peonza concava,Troque rariline
gjt,Gari togata,Courtesan sunset clam,,Psammobie courtisane
gju,Gari truncata,Truncate sunset clam,,Psammobie tronquee
gjv,Gibbula varia,Variegate gibbula,Peonza variante,Troque variable
gjw,Gracilaria verrucosa,Warty gracilaria,Gracilaria común,Gracilaire commune
gjx,Gracilaria spinigera,Spiny gracilaria,Pelillo espinoso,Gracilaire épineuse
gjz,Ageneiosus inermis,,,
gka,Gracilaria dura,Leather gracilaria,Gracilaria coriaceae,Gracilaire coriace
gkc,Gracilaria arcuata,Arcuate gracilaria,,
gkd,Geukensia demissa,Atlantic ribbed mussel,,
gke,Tegula pellisserpentis,Snakeskin tegula,Burgado piel de serpiente,Troque peau-de-serpent
gkf,Gymnogongrus furcellatus,,Liquen gomoso,
gkg,Glycymeris gigantea,Giant bittersweet,Almendra india,Amande indienne
gkh,Gracilaria eucheumoides,Prostrate gracilaria,,
gki,Gracilaria edulis,Dichotomously branched gracila,,
gkk,Gracilaria salicornia,Segmented gracilaria,,
gkl,Glycymeris glycymeris,Common European bittersweet,Almendra de mar,Amande commune
gkm,Gecarcinus malpilensis,Malpelo land crab,Moro de Malpelo,Tomourou de Malpelo
gkn,Kopua nuimata,,,
gko,Glycymeris ovata,Black bittersweet,,
gkp,Gecarcinus planatus,Red Pacific land crab,Moro rojo del Pacífico,Tombourou rouge du Pacifique
gkq,Gecarcinus quadratus,Whitespotted land crab,Moro de manchas blancas,Tombourou à taches blanches
gkr,Glycymeris scripta,Scripta bittersweet,Almendra escritura,Amande écriture
gks,Plagiocardium pseudolatum,Broad cockle,,Bucarde large
gku,Glycymeris maculata,Speckled bittersweet,Almendra manchada,Amande marbrée
gkv,Glauconome virens,Greenish glauconomya,,Glauconomye verte
gkx,Galatea spp,,,
glb,Chiloglanis batesii,,,
glc,Lecanogaster chrysea,,,
gld,Glycera dibranchiata,Bloodworm,,
gle,Glaniopsis denudata,,,
glf,Gladiogobius ensifer,Gladiator goby,,
glg,Lebetus guilleti,Guillet's goby,,
glh,Glaucosoma hebraicum,Westralian jewfish,,
gli,Glossanodon leioglossus,Smalltoothed argentine,,
glj,Glyptoparus jugularis,Jugular blenny,,
glk,Gunnellichthys curiosus,Curious wormfish,,
gll,Lovettia sealii,Tasmanian whitebait,,
glm,Pteroglanis manni,,,
gln,Lepadichthys bolini,,,
glo,Globicephala spp,Pilot whales nei,,
glp,Lepadogaster lepadogaster,Shore clingfish,,
glq,Gloripallium pallium,Royal cloak scallop,,Pétoncle manteau
glr,Lepadogaster candollei,Connemarra clingfish,,
gls,Gracilaria spp,Gracilaria seaweeds,Gracilarias,Algues gracilaires
glt,Gnathanodon speciosus,Golden trevally,Jurel dorado,Carangue royale
glu,Glaucosoma scapulare,,,
glv,Glycymeris vovan,Vovan bittersweet,Almendra vovania,Amande vovan
glw,Tagelus adansonii,Adanson's tagelus,Tagelo de Adanson,Tagal d'Adanson
glx,Galatea paradoxa,Common galatea clam,Almeja galatea,Donace peigne
gly,Paragunnellichthys seychellensis,,,
glz,Glyptocephalus zachirus,Rex sole,Platija rey,Plie cynoglosse royale
gma,Grammistops ocellatus,Ocellate soapfish,,
gmc,Grammatonotus crosnieri,Long-tailed groppo,,
gmd,Gymneleotris seminudus,Splitbanded goby,,
gme,Gymnocranius frenatus,Yellowsnout large-eye bream,,
gmf,Grammatostomias flagellibarba,,,
gmg,Grammicolepis brachiusculus,Thorny tinselfish,,
gmh,Gymnocanthus herzensteini,,,
gmi,Gymnoclinus cristulatus,Trident prickleback,,
gmj,Sagamia geneionema,,,
gmk,Grammoplites suppositus,Spotfin flathead,,Platycéphale épée
gml,Gramma loreto,Royal gramma,,
gmm,Modicus minimus,,,
gmn,Gymnogobius raninus,,,
gmo,Grammonoides opisthodon,Bighead brotula,,
gmp,Gymnammodytes capensis,Cape sandlance,,
gmq,Gymnocranius euanus,Japanese large-eye bream,,Bossu blanc à points noirs
gmr,Gymnocranius griseus,Grey large-eye bream,Emperador gris,Empereur gris
gms,Ameca splendens,Butterfly splitfin,,
gmt,Grammonus ater,,,
gmu,Grammoplites gruveli,Guinea flathead,,
gmv,Gymnocrotaphus curvidens,Janbruin,,
gmw,Gymnocranius grandoculis,Blue-lined large-eye bream,,Empereur tatoué
gmy,Gymnocaesio gymnoptera,Slender fusilier,Fusilero elegante,Fusilier élégant
gmz,Gymnogeophagus balzanii,Argentine humphead,,
gna,Gnathopogon caerulescens,,,
gnb,Neochanna burrowsius,Canterbury mudfish,,
gnc,Ginglymostoma cirratum,Nurse shark,Gata nodriza,Requin-nourrice
gnd,Neochanna diversus,Black mudfish,,
gne,Gnathopogon elongatus,,,
gnf,Gymnapogon africanus,Crystal cardinal,,
gng,Ginglymostoma spp,Nurse sharks nei,Gatas nodrizas nep,Requins-nourrices
gnh,Ageneiosus therezine,,,
gni,Ageneiosus valenciennesi,,,
gnj,Ageneiosus vittatus,,,
gnk,Ageneiosus ucayalensis,,,
gnl,Ageneiosus melanopogon,,,
gnm,Ageneiosus madeirensis,,,
gnn,Ageneiosus parnaguensis,,,
gno,Ageneiosus rondoni,,,
gnp,Goslinia platynema,Slobbering catfish,,
gnq,Ageneiosus marmoratus,Bottlenose catfish,,
gnr,Ageneiosus brevifilis,Manduba,,
gns,Platanista gangetica,Ganges River dolphin,Platanista del Ganges,Plataniste du Gange
gnt,Ageneiosus atronasus,,,
gnu,Ageneiosus dentatus,,,
gnv,Ageneiosus brevis,,,
gnw,Ageneiosus uruguayensis,,,
gnx,Gnathochromis permaxillaris,,,
gny,Ageneiosus polystictus,,,
gnz,Paracrangon areolata,Areolated horned shrimp,Camarón cornudo areolado,Crevette cornue à areoles
goa,Pseudupeneus prayensis,West African goatfish,Salmonete barbudo,Rouget du Sénégal
gob,Gobius spp,Atlantic gobies nei,"Góbidos, chaparrudos nep",Gobies de l'Atlantique
goc,Opeatogenys cadenati,,,
god,Gobitrichinotus radiocularis,,,
goe,Pogonolycus elegans,,,
gof,Lesueurigobius friesii,Fries's goby,,
gog,Gobio gobio,,,
goh,Gonioplectrus hispanus,Spanish flag,Bandera español,Pavillon espagnol
goi,Gobiopsis aporia,,,
goj,Gorogobius nigricinctus,,,
gok,Lotilia graciliosa,Whitecap goby,,
gol,Gobiodon acicularis,,,
gom,Trichogaster spp,Gouramis nei,Guramis nep,Gouramis
gon,Gobius paganellus,Rock goby,Bobí,Gobie paganel
goo,Lepas spp,Goose barnacles nei,Bellotas de mar nep,Balanes
gop,Gobio albipinnatus,White-finned gudgeon,,
goq,Glyphocrangon lowryi,Goblin prawn,,
gor,Gobiobotia brevibarba,,,
got,Goodea atripinnis,Blackfin goodea,,
gou,Glossogobius giuris,Tank goby,,
gov,Goniocidaris umbraculum,Umbrella urchin,,
gow,Gobiocichla ethelwynnae,,,
gox,Upeneus spp,Goatfishes,Salmonetes,Rougets-souris
goy,Gobiopterus brachypterus,,,
goz,Gammogobius steinitzi,,,
gpa,Gobiidae,Gobies nei,Góbidos nep,Gobies
gpb,Mycteroperca spp,Brazilian groupers nei,Cunas nep,Badèches
gpc,Cynoponticus ferox,Guinean pike conger,Morenocio de Guinea,Murénésoce de Guinée
gpd,Epinephelus marginatus,Dusky grouper,Mero moreno,Mérou noir
gpe,Phycis chesteri,Longfin hake,,Merluche à longues nagerois
gpf,Gastropsetta frontalis,Shrimp flounder,,
gpg,Propherallodus briggsi,,,
gph,Phractolaemus ansorgii,Hingemouth,,
gpi,Palutrus meteori,Meteor goby,,
gpj,Goniopsis pelii,Purple mangrove crab,Abuete real,Anglette de mangroves violette
gpk,Grapsus tenuicrustatus,Natal lightfoot crab,,
gpl,Lepidogobius lepidus,Bay goby,,
gpm,Aspasma minima,,,
gpn,Epinephelus striatus,Nassau grouper,Cherna criolla,Mérou rayé
gpo,Padogobius bonelli,,,
gpp,Leucopsarion petersi,,,
gpq,Angiospermae,Seagrasses nei,,Angiospermes aquatiques
gpr,Epinephelus morio,Red grouper,Mero americano,Mérou rouge
gps,Epinephelus analogus,Spotted grouper,Mero moteado,Mérou cabrilla
gpt,Pungitius pungitius,Ninespine stickleback,,
gpu,Paragalaxias dissimilis,,,
gpv,Goniocidaris parasol,Parasol urchin,,
gpw,Epinephelus aeneus,White grouper,Cherna de ley,Mérou blanc
gpx,Epinephelus spp,Groupers nei,Meros nep,Mérous
gqa,Crangon alaskensis,Alaska shrimp,Quisquilla de Alaska,Crevette alaska
gqb,Sargassum fusiforme,Fusiform sargassum,,
gqc,Crangon communis,Gray shrimp,Quisquilla gris,Crevette cendrée
gqd,Plectorhinchus sordidus,Sordid rubberlip,Burro boca colorada,Diagramme à lèvres rouges
gqe,Gari elongata,Elongate sunset clam,,Psammobie allongee
gqf,Crangon franciscorum,California shrimp,Quisquilla californiana,Crevette californienne
gqg,Latirolagena smaragdula,Precious stone shell,,Fasciolaire rustique
gqh,Glossus humanus,Oxheart cockle,Corazon de buey,Isocarde globuleuse
gqi,Crangon nigromaculata,Bay shrimp,Quisquilla de caleta,Crevette baie
gqj,Sargassum cristaefolium,Double-bladed sargassum,,
gqk,Sargassum crassifolium,Common Pacific sargassum,,
gql,Sargassum polycystum,Rough-stemmed sargassum,,
gqm,Gari minor,Minor sunset clam,,
gqn,Crangon nigricauda,Blacktailed shrimp,Quisquilla rabo negro,Crevette queue noire
gqo,Macrocystis spp,Kelp nei,Huiros nep,Kelps
gqp,Gardinoseris planulata,Ice-cube tray coral,Coral hielero,Corail glacier
gqr,Asparagopsis armata,Red harpoon,Esparrago marino,Harpon de Neptune
gqs,Crangon septemspinosa,Sand shrimp,Quisquilla arenera,Crevette sable
gqt,Plectorhinchus gaterinus,Blackspotted rubberlip,,Diagramme moucheté
gqu,Sargassum paniculatum,Serrate sargassum,,
gqv,Plectorhinchus orientalis,Oriental sweetlips,,
gqw,Plectorhinchus playfairi,Whitebarred rubberlip,,Diagramme rayons de soleil
gqx,Asparagopsis taxiformis,Red sea plume,,
gqy,Sargassum oligocystum,Flat-stemmed sargassum,,
gqz,Sigmops bathyphilus,Spark anglemouth,,
gra,Parapristipoma octolineatum,African striped grunt,Burro listado,Grondeur rayé
grb,Brachydeuterus auritus,Bigeye grunt,Burro ojón,Lippu pelon
grc,Gadus ogac,Greenland cod,Bacalao de Groenlandia,Morue ogac
grd,Garra dembeensis,,,
gre,Chlorophthalmidae,Greeneyes,Ojiverdes,Verdyeux
grf,Rimicola dimorpha,Southern clingfish,,
grg,Garra ghorensis,,,
grh,Grammatobothus polyophthalmus,Threespot flounder,,
gri,Garra tibanica,,,
grj,Grammatotria lemairii,,,
grk,Garra lamta,,,
grl,Pomadasys argenteus,Silver grunt,Corocoro plateado,Grondeur argenté
grm,Macruronus magellanicus,Patagonian grenadier,Merluza de cola,Grenadier de Patagonie
grn,Macruronus novaezelandiae,Blue grenadier,Cola de rata azul,Grenadier bleu
gro,Osteichthyes,Groundfishes nei,Peces de fondo nep,Poissons de fond
grp,Isacia conceptionis,Cabinza grunt,Cabinza,Cagna cabinza
grq,Geryon longipes,Mediterranean geryon,Gerión mediterráneo,Géryon de la Méditerranée
grr,Garra rufa,,,
grt,Garra gotyla,,,
gru,Garra mullya,,,
grv,Macrourus spp,Grenadiers nei,Granaderos nep,Grenadiers
grw,Eschrichtius robustus,Gray whale,Ballena gris,Baleine grise
grx,Haemulidae(=Pomadasyidae),"Grunts, sweetlips nei","Burros, roncos nep","Grondeurs, diagrammes"
gsa,Carangoides praeustus,Brownback trevally,,
